,algorithm,samples,error,error-ucb
96,RF-UCRL,672,0.01836907461425019,29.895218043248235
97,RF-UCRL,923,0.029638638788188842,26.23577867611468
98,RF-UCRL,1268,0.02156172576357207,22.865615197417007
99,RF-UCRL,1743,0.014421953948041466,20.053774849173443
100,RF-UCRL,2395,0.006403326262705011,17.4547651882458
101,RF-UCRL,3290,0.010224859019488886,15.26397407015611
102,RF-UCRL,4520,0.029087033562438247,13.272104030385586
103,RF-UCRL,6210,0.0004826849317853821,11.55486989854884
104,RF-UCRL,8531,0.0013687628409932984,10.044901350798643
105,RF-UCRL,11721,0.007766627015385108,8.73286211902848
106,RF-UCRL,16102,0.004415928956730486,7.5881281631049005
107,RF-UCRL,22122,0.007837941435258067,6.590563878746321
108,RF-UCRL,30391,0.007213330771505433,5.723918558853061
109,RF-UCRL,41753,0.000796708178510741,4.959983003859342
110,RF-UCRL,57361,0.0016738391798600816,4.299864422946258
111,RF-UCRL,78804,0.0007669608831237795,3.725778819123521
112,RF-UCRL,108263,0.0037412697850682797,3.2259186977659557
113,RF-UCRL,148735,0.0009332803985273586,2.792364650384657
114,RF-UCRL,204335,0.0012752451195638947,2.4166025885393503
115,RF-UCRL,280721,0.00022827324979290964,2.090114529698684
116,RF-UCRL,385662,0.0013762676042943234,1.8070665740414522
117,RF-UCRL,529831,0.0001824726488761641,1.5619264769191623
118,RF-UCRL,727895,0.0029132944620613443,1.3494329765852107
119,RF-UCRL,1000000,8.893052171554672e-05,1.1657094898350162
